binned_lat,binned_lon,type,subtype,count
41.97,-87.75,JAM,JAM_STAND_STILL_TRAFFIC,1715
41.89,-87.62,JAM,JAM_STAND_STILL_TRAFFIC,1702
41.86,-87.65,JAM,JAM_HEAVY_TRAFFIC,1697
41.93,-87.71,JAM,JAM_STAND_STILL_TRAFFIC,1688
41.91,-87.67,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1670
41.92,-87.68,JAM,JAM_HEAVY_TRAFFIC,1641
41.88,-87.65,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1627
41.87,-87.71,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1622
41.95,-87.74,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1614
41.7,-87.6,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1607
41.87,-87.77,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1606
41.95,-87.73,JAM,JAM_HEAVY_TRAFFIC,1588
41.71,-87.62,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1587
41.85,-87.65,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1576
41.98,-87.66,JAM,JAM_STAND_STILL_TRAFFIC,1573
41.87,-87.78,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1564
41.92,-87.69,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1563
41.83,-87.64,JAM,JAM_HEAVY_TRAFFIC,1534
41.68,-87.61,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1534
41.98,-87.82,JAM,JAM_HEAVY_TRAFFIC,1530
41.83,-87.68,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1528
41.87,-87.77,JAM,JAM_STAND_STILL_TRAFFIC,1514
41.93,-87.7,JAM,JAM_STAND_STILL_TRAFFIC,1514
41.85,-87.65,JAM,JAM_STAND_STILL_TRAFFIC,1487
41.87,-87.7,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1445
41.98,-87.8,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1420
41.98,-87.79,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1420
41.86,-87.65,JAM,JAM_STAND_STILL_TRAFFIC,1403
41.84,-87.64,JAM,JAM_STAND_STILL_TRAFFIC,1399
41.85,-87.62,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1375
41.95,-87.73,JAM,JAM_STAND_STILL_TRAFFIC,1369
41.87,-87.77,JAM,JAM_HEAVY_TRAFFIC,1368
41.98,-87.8,JAM,JAM_HEAVY_TRAFFIC,1363
41.83,-87.7,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1355
41.89,-87.65,JAM,JAM_HEAVY_TRAFFIC,1336
41.98,-87.66,JAM,JAM_HEAVY_TRAFFIC,1324
41.94,-87.73,JAM,JAM_HEAVY_TRAFFIC,1319
41.87,-87.66,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1298
41.84,-87.65,JAM,JAM_HEAVY_TRAFFIC,1279
41.84,-87.65,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1274
41.88,-87.62,JAM,JAM_STAND_STILL_TRAFFIC,1264
41.9,-87.63,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1258
41.89,-87.62,JAM,JAM_HEAVY_TRAFFIC,1249
41.67,-87.61,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1240
41.87,-87.62,JAM,JAM_STAND_STILL_TRAFFIC,1227
41.98,-87.84,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1216
41.91,-87.68,JAM,JAM_HEAVY_TRAFFIC,1208
41.94,-87.73,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1200
41.95,-87.73,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1194
41.83,-87.69,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1188
41.82,-87.71,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1180
41.86,-87.62,JAM,JAM_STAND_STILL_TRAFFIC,1177
41.98,-87.67,JAM,JAM_STAND_STILL_TRAFFIC,1177
41.91,-87.66,JAM,JAM_STAND_STILL_TRAFFIC,1172
41.81,-87.75,JAM,JAM_HEAVY_TRAFFIC,1164
41.84,-87.62,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1134
41.97,-87.77,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1127
41.98,-87.81,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1124
41.9,-87.66,JAM,JAM_STAND_STILL_TRAFFIC,1105
41.92,-87.68,JAM,JAM_STAND_STILL_TRAFFIC,1066
41.82,-87.64,JAM,JAM_HEAVY_TRAFFIC,1065
41.98,-87.83,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1044
41.9,-87.63,JAM,JAM_STAND_STILL_TRAFFIC,1035
41.93,-87.64,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1017
41.8,-87.64,JAM,JAM_HEAVY_TRAFFIC,1010
41.98,-87.75,JAM,JAM_STAND_STILL_TRAFFIC,1009
41.94,-87.73,JAM,JAM_STAND_STILL_TRAFFIC,1008
41.81,-87.74,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1006
41.87,-87.76,JAM,JAM_STAND_STILL_TRAFFIC,977
41.87,-87.67,JAM,JAM_HEAVY_TRAFFIC,977
41.92,-87.68,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,960
41.83,-87.68,JAM,JAM_HEAVY_TRAFFIC,959
41.88,-87.62,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,956
41.98,-87.81,JAM,JAM_HEAVY_TRAFFIC,936
41.87,-87.62,JAM,JAM_HEAVY_TRAFFIC,930
41.84,-87.65,JAM,JAM_STAND_STILL_TRAFFIC,928
41.98,-87.67,JAM,JAM_HEAVY_TRAFFIC,927
41.84,-87.66,JAM,JAM_HEAVY_TRAFFIC,925
41.9,-87.63,JAM,JAM_HEAVY_TRAFFIC,922
41.83,-87.64,JAM,JAM_STAND_STILL_TRAFFIC,905
41.82,-87.74,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,905
41.92,-87.7,JAM,JAM_HEAVY_TRAFFIC,895
41.92,-87.67,JAM,JAM_STAND_STILL_TRAFFIC,893
41.82,-87.73,JAM,JAM_HEAVY_TRAFFIC,893
41.81,-87.75,JAM,JAM_STAND_STILL_TRAFFIC,889
41.87,-87.76,JAM,JAM_HEAVY_TRAFFIC,888
41.71,-87.6,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,878
41.87,-87.67,JAM,JAM_STAND_STILL_TRAFFIC,878
41.84,-87.63,JAM,JAM_HEAVY_TRAFFIC,875
41.92,-87.71,JAM,JAM_HEAVY_TRAFFIC,874
41.83,-87.61,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,871
41.98,-87.75,JAM,JAM_HEAVY_TRAFFIC,869
41.87,-87.74,JAM,JAM_HEAVY_TRAFFIC,867
41.98,-87.82,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,863
41.88,-87.64,JAM,JAM_STAND_STILL_TRAFFIC,858
41.98,-87.82,JAM,JAM_STAND_STILL_TRAFFIC,856
41.71,-87.63,JAM,JAM_HEAVY_TRAFFIC,855
41.87,-87.74,JAM,JAM_STAND_STILL_TRAFFIC,848
41.92,-87.67,JAM,JAM_HEAVY_TRAFFIC,844
41.95,-87.75,JAM,JAM_HEAVY_TRAFFIC,839
41.83,-87.67,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,826
